City,Year,Shell,Volume,Mileage,Transmission,Rudder,Color,Gear,CustomsCleared,Type Engine,Price,Company,Model
Кызылорда,2012,седан,1.6,100000,механика,слева,серебристый,передний привод,Да,бензин,1400000,Daewoo,Nexia
Петропавловск,2015,кроссовер,2.4,88904,автомат,слева,белый металлик,полный привод,Да,бензин,10250000,Kia,Sorento
Уральск,2004,седан,2.4,145000,механика,слева,черный металлик,передний привод,Нет,газ-бензин,2950000,Toyota,Camry
Кокшетау,2018,седан,1.6,80000,механика,слева,белый,передний привод,Нет,бензин,3400000,Kia,Rio
Алматы,2007,кроссовер,3.5,241350,автомат,слева,синий металлик,полный привод,Да,бензин,6100000,Toyota,RAV 4
Нур-Султан (Астана),2008,минивэн,3.5,134000,вариатор,справа,белый металлик,полный привод,Нет,бензин,3750000,Toyota,Estima
Атырау,2005,седан,2.5,219000,автомат,слева,серебристый металлик,полный привод,Да,бензин,2600000,Subaru,Legacy
Шымкент,1993,седан,2.0,51818,механика,слева,бордовый металлик,передний привод,Да,бензин,850000,Mazda,626
Алматы,2015,седан,1.6,160000,механика,слева,белый металлик,передний привод,Да,бензин,3600000,Volkswagen,Polo
Алматы,2001,кроссовер,2.0,350000,механика,слева,серебристый,полный привод,Да,дизель,3600000,Toyota,RAV 4
Атырау,2018,хэтчбек,1.5,20000,автомат,слева,синий,,Да,бензин,11500000,BMW,118
Костанай,2012,седан,1.4,150500,механика,слева,черный металлик,передний привод,Да,бензин,2450000,Renault,Logan
Абай (Абайский р-н),2000,хэтчбек,1.6,3100,механика,слева,черный металлик,передний привод,Да,бензин,1800000,Opel,Astra
Алматы,2007,седан,4.5,180000,типтроник,слева,черный,задний привод,Да,бензин,7000000,Mercedes-Benz,S 450
Актау,1993,кроссовер,2.0,100000,механика,слева,красный металлик,передний привод,Да,дизель,700000,Mitsubishi,Space Wagon
Атырау,2010,седан,2.4,200000,автомат,слева,черный,,Да,газ-бензин,6800000,Toyota,Camry
Алматы,2002,кроссовер,4.4,300000,автомат,слева,красный металлик,полный привод,Да,бензин,3500000,BMW,X5
Атырау,2016,микроавтобус,2.3,160000,механика,слева,белый,задний привод,Да,дизель,10000000,Renault,Master
Алматы,2013,кроссовер,2.3,230000,механика,слева,белый металлик,полный привод,Да,газ-бензин,3430000,SsangYong,Kyron
Усть-Каменогорск,2014,хэтчбек,2.0,97000,механика,слева,черный металлик,передний привод,Да,бензин,6300000,Hyundai,ix35
Нур-Султан (Астана),2013,седан,2.5,166500,автомат,слева,черный металлик,передний привод,Да,бензин,8450000,Toyota,Camry
Нур-Султан (Астана),2007,внедорожник,4.7,250000,типтроник,слева,серебристый металлик,полный привод,Да,бензин,10700000,Toyota,Land Cruiser
Шымкент,2019,седан,3.0,70000,типтроник,слева,черный,,Да,бензин,11500000,Hyundai,Grandeur
Актау,2005,внедорожник,4.0,290000,автомат,слева,серебристый металлик,полный привод,Да,газ-бензин,4300000,Ford,Explorer
Аксай,2008,минивэн,2.4,118000,автомат,слева,черный,передний привод,Нет,бензин,5000000,Toyota,Alphard
Шымкент,1990,хэтчбек,1.8,160000,механика,слева,зеленый металлик,,Да,бензин,1300000,Volkswagen,Golf
Алматы,2008,кроссовер,2.0,139000,автомат,слева,серый металлик,полный привод,Да,бензин,7100000,Toyota,RAV 4
Актобе,2015,седан,1.6,108000,автомат,слева,серебристый,передний привод,Да,бензин,5950000,Kia,Cerato
Костанай,1995,седан,1.8,350000,механика,слева,синий,передний привод,Да,бензин,1200000,Opel,Vectra
Атырау,2014,минивэн,3.5,152887,автомат,слева,зеленый металлик,передний привод,Да,бензин,10350000,Toyota,Sienna
Караганда,2013,внедорожник,4.6,135000,типтроник,слева,белый металлик,полный привод,Да,бензин,15700000,Lexus,GX 460
Актау,2014,седан,1.6,110000,автомат,слева,черный,передний привод,Да,газ-бензин,5000000,Kia,Cerato
Сарыагаш,2012,седан,2.5,123000,автомат,слева,серый металлик,передний привод,Да,бензин,8200000,Toyota,Camry
Костанай,2018,кроссовер,2.0,54000,автомат,слева,белый,полный привод,Да,бензин,14300000,Volkswagen,Tiguan
Алматы,2011,внедорожник,2.7,101000,автомат,слева,белый металлик,полный привод,Да,бензин,12600000,Toyota,Land Cruiser Prado
Караганда,2014,седан,1.6,84500,автомат,слева,черный металлик,передний привод,Да,бензин,4600000,Hyundai,Accent
Кызылорда,2014,седан,1.5,111111,механика,слева,белый,передний привод,Да,бензин,3500000,Chevrolet,Cobalt
Актау,2007,седан,3.5,156,автомат,слева,серебристый металлик,передний привод,Да,газ-бензин,5700000,Lexus,ES 350
Жезказган,1993,седан,2.5,2222222,механика,слева,белый,задний привод,Да,бензин,1400000,BMW,525
Актобе,2000,седан,2.4,150000,автомат,слева,серебристый металлик,задний привод,Нет,бензин,2650000,Mercedes-Benz,E 240
Талдыкорган,2010,седан,1.8,160000,автомат,слева,красный металлик,передний привод,Да,бензин,3600000,Chevrolet,Cruze
Шымкент,2020,кроссовер,2.0,5,автомат,слева,,,Да,бензин,10090000,Hyundai,Tucson
Шымкент,2020,седан,1.6,5,автомат,слева,,,Да,бензин,6590000,Hyundai,Accent
Шымкент,2020,кроссовер,1.6,5,автомат,слева,,передний привод,Да,бензин,7690000,Hyundai,Creta
Шымкент,2020,седан,2.0,5,автомат,слева,,передний привод,Да,бензин,9790000,Hyundai,Sonata
Кокшетау,2001,внедорожник,3.0,360492,автомат,слева,белый металлик,полный привод,Да,бензин,3850000,Mitsubishi,Montero Sport
Шымкент,2011,седан,2.4,188515,автомат,слева,серебристый металлик,передний привод,Нет,бензин,5000000,Toyota,Camry
Нур-Султан (Астана),2010,седан,2.4,181000,автомат,слева,,,Да,бензин,7099999,Toyota,Camry
Алматы,2014,лифтбек,1.6,83000,механика,слева,серый,передний привод,Да,бензин,2200000,ВАЗ (Lada),2191 (лифтбек)
Степногорск,1989,седан,2.0,310000,механика,слева,синий,передний привод,Да,бензин,1000000,Opel,Vectra
Уральск,1996,седан,1.8,1234566,механика,слева,зеленый металлик,передний привод,Да,бензин,1000000,Volkswagen,Passat
Атырау,2011,пикап,2.5,515966,механика,слева,белый,полный привод,Да,дизель,7100000,Toyota,Hilux
Кордай,1993,седан,1.6,2222,механика,слева,фиолетовый металлик,передний привод,Да,бензин,500000,Daewoo,Nexia
Актобе,2003,кроссовер,3.0,165000,автомат,справа,белый,полный привод,Нет,бензин,3850000,Lexus,RX 300
Нур-Султан (Астана),2005,внедорожник,4.7,277000,автомат,слева,,полный привод,Да,бензин,7700000,Toyota,Land Cruiser
Алматы,2002,седан,3.2,340000,типтроник,слева,серебристый металлик,задний привод,Да,бензин,5700000,Mercedes-Benz,E 320
Уральск,2013,внедорожник,3.0,138000,механика,слева,белый металлик,полный привод,Да,дизель,11990000,Toyota,Land Cruiser Prado
Алматы,2003,седан,2.4,350000,автомат,слева,синий,передний привод,Да,газ-бензин,3900000,Toyota,Camry
Уральск,2008,седан,1.6,140000,механика,слева,серебристый,передний привод,Нет,бензин,990000,ВАЗ (Lada),1118 (седан)
Актобе,2003,внедорожник,4.5,68000,механика,слева,вишня металлик,полный привод,Да,газ-бензин,15500000,Toyota,Land Cruiser
Усть-Каменогорск,2003,внедорожник,6.0,201167,автомат,слева,бежевый,полный привод,Да,бензин,8200000,Hummer,H2
Алматы,2017,седан,1.4,90000,автомат,слева,белый,передний привод,Да,бензин,5100000,Volkswagen,Polo
Нур-Султан (Астана),1993,седан,2.0,350,автомат,справа,,задний привод,Да,бензин,1600000,Toyota,Chaser
Шымкент,1996,седан,2.8,400000,типтроник,слева,синий металлик,задний привод,Да,газ-бензин,1950000,BMW,728
Атырау,2006,хэтчбек,1.6,2222222,механика,слева,серый,передний привод,Нет,бензин,680000,ВАЗ (Lada),2112 (хэтчбек)
Актау,2013,внедорожник,5.6,158000,автомат,слева,белый металлик,полный привод,Да,газ-бензин,11950000,Nissan,Patrol
Тараз,2004,внедорожник,4.7,326000,автомат,слева,черный металлик,полный привод,Да,бензин,8300000,Toyota,Land Cruiser
Актау,2001,седан,3.0,230000,автомат,слева,золотистый металлик,передний привод,Да,газ-бензин,2350000,Lexus,GS 300
Алматы,2013,кроссовер,3.5,45700,автомат,слева,черный металлик,полный привод,Да,бензин,16300000,Toyota,Highlander
Актобе,2010,кроссовер,3.0,86000,автомат,слева,черный,полный привод,Да,бензин,9300000,BMW,X6
Жанаозен,2012,седан,2.0,124000,автомат,слева,черный металлик,передний привод,Да,бензин,2900000,Ford,Mondeo
Актобе,2010,кроссовер,2.5,174000,автомат,слева,красный,полный привод,Нет,газ-бензин,4000000,Subaru,Forester
Алматы,2012,кроссовер,1.6,86400,вариатор,слева,белый,передний привод,Да,бензин,5650000,Nissan,Qashqai
Актобе,2012,кроссовер,2.0,50000,вариатор,слева,серый металлик,полный привод,Да,газ-бензин,7000000,Nissan,Qashqai
Алматы,2013,седан,1.6,73500,автомат,слева,серый металлик,передний привод,Да,бензин,4000000,Hyundai,Accent
Нур-Султан (Астана),2013,седан,1.5,160000,механика,слева,черный,передний привод,Нет,бензин,2200000,Chevrolet,Cobalt
Петропавловск,2011,внедорожник,1.6,100000,механика,слева,бордовый металлик,полный привод,Нет,бензин,1750000,ВАЗ (Lada),1922 Бронто
Павлодар,1998,седан,2.0,284000,типтроник,слева,серебристый металлик,задний привод,Да,бензин,2800000,BMW,320
Алматы,2003,седан,3.0,182200,автомат,слева,синий металлик,передний привод,Да,бензин,3600000,Nissan,Maxima
Алматы,1998,минивэн,2.7,200000,автомат,справа,белый металлик,полный привод,Да,бензин,3750000,Toyota,HiAce Regius
Уральск,2008,минивэн,2.4,151245,автомат,справа,серый,полный привод,Нет,бензин,3100000,Toyota,Estima
Алматы,2002,седан,3.2,230000,автомат,слева,черный,задний привод,Да,бензин,3750000,Mercedes-Benz,C 320
Актобе,2012,внедорожник,2.9,56000,механика,слева,черный,полный привод,Нет,бензин,2800000,УАЗ,Hunter
Риддер,2018,кроссовер,3.5,19500,типтроник,слева,синий металлик,полный привод,Да,бензин,15500000,Kia,Sorento
Тараз,1992,седан,2.3,318000,механика,слева,серый металлик,задний привод,Да,бензин,1400000,Mercedes-Benz,E 230
Атырау,2012,кроссовер,2.4,122000,автомат,слева,белый,полный привод,Да,бензин,7080000,Hyundai,Santa Fe
Нур-Султан (Астана),1999,седан,1.5,999999,механика,слева,зеленый,передний привод,Да,бензин,450000,ВАЗ (Lada),2110 (седан)
Молодежное (Осакаровский р-н),1999,внедорожник,2.8,380000,механика,слева,синий металлик,полный привод,Да,дизель,3700000,Nissan,Patrol
Караганда,2007,внедорожник,5.5,102000,автомат,слева,черный металлик,полный привод,Да,бензин,18500000,Mercedes-Benz,G 55 AMG
Алматы,2011,внедорожник,5.0,152000,типтроник,слева,черный металлик,полный привод,Да,бензин,10500000,Rover,Land Range 
Алматы,1995,универсал,2.0,235000,механика,слева,бордовый металлик,передний привод,Да,бензин,1550000,Nissan,Primera
Алматы,2012,внедорожник,3.0,167000,автомат,слева,серый металлик,полный привод,Да,дизель,13000000,Toyota,Land Cruiser Prado
Нур-Султан (Астана),2012,седан,6.3,102000,типтроник,слева,коричневый металлик,полный привод,Да,бензин,14444444,Audi,A8
Алматы,2005,пикап,5.6,220000,автомат,слева,белый,полный привод,Да,газ-бензин,6700000,Nissan,Titan
Тараз,2000,минивэн,2.2,250000,механика,слева,красный,передний привод,Да,дизель,1800000,Mercedes-Benz,Vito
Алматы,2019,микроавтобус,2.2,5000,механика,слева,черный,задний привод,Да,дизель,40000000,Mercedes-Benz,Sprinter
Нур-Султан (Астана),2009,внедорожник,6.2,218000,автомат,слева,белый,полный привод,Да,газ-бензин,7000000,Cadillac,Escalade
Нур-Султан (Астана),1993,универсал,1.8,222,механика,слева,белый,передний привод,Да,газ-бензин,1150000,Volkswagen,Passat
Алматы,1999,микроавтобус,3.4,117000,автомат,справа,серый,задний привод,Нет,бензин,3000000,Toyota,Granvia
Алматы,1993,внедорожник,3.0,415000,автомат,справа,серый,задний привод,Да,дизель,4000000,Toyota,Land Cruiser Prado
Нур-Султан (Астана),2003,минивэн,3.0,223000,автомат,справа,серебристый металлик,полный привод,Нет,бензин,3000000,Toyota,Alphard
Алматы,2013,кроссовер,2.0,129000,вариатор,слева,оранжевый металлик,полный привод,Да,бензин,6900000,Subaru,XV
Туркестан,2015,микроавтобус,2.5,200000,автомат,слева,серый,задний привод,Да,дизель,9200000,Hyundai,Starex
Актобе,2012,универсал,1.6,50000,механика,слева,белый металлик,передний привод,Нет,газ-бензин,2300000,ВАЗ (Lada),2171 (универсал)
Кокшетау,2013,кроссовер,1.6,65000,автомат,слева,,,Да,бензин,4900000,Nissan,Juke
Алматы,1992,седан,2.3,10000,механика,слева,фиолетовый,задний привод,Да,бензин,1200000,Mercedes-Benz,E 230
Атырау,2019,седан,2.5,16000,типтроник,слева,черный металлик,передний привод,Нет,бензин,9300000,Toyota,Camry
Семей,2002,седан,1.8,250000,вариатор,слева,черный металлик,полный привод,Нет,бензин,1800000,Audi,A4
Нур-Султан (Астана),2018,седан,2.5,27000,автомат,слева,белый металлик,передний привод,Да,бензин,14000000,Toyota,Camry
Алматы,2001,хэтчбек,1.4,265000,механика,слева,черный металлик,передний привод,Да,бензин,2200000,Volkswagen,Golf
Нур-Султан (Астана),2004,внедорожник,4.2,160000,типтроник,слева,синий металлик,полный привод,Да,бензин,5000000,Volkswagen,Touareg
Алматы,2017,универсал,1.6,120000,механика,слева,белый металлик,передний привод,Да,бензин,3700000,ВАЗ (Lada),Largus
Шымкент,2007,минивэн,3.0,128000,автомат,справа,белый металлик,полный привод,Нет,бензин,4300000,Toyota,Alphard
Шымкент,2015,внедорожник,4.6,68000,автомат,справа,черный металлик,полный привод,Да,бензин,19700000,Lexus,GX 460
Щучинск,2011,кроссовер,3.5,151500,автомат,слева,бордовый,полный привод,Да,газ-бензин,11500000,Toyota,Highlander
Нур-Султан (Астана),2007,внедорожник,4.5,200000,автомат,слева,белый,полный привод,Да,бензин,5000000,Mercedes-Benz,GL 450
Петропавловск,2018,кроссовер,2.4,65000,типтроник,слева,белый,полный привод,Да,бензин,8900000,Chevrolet,Captiva
Актобе,1993,седан,1.6,347000,механика,слева,серебристый металлик,передний привод,Да,газ-бензин,950000,SeatToledo,
Тараз,2010,внедорожник,4.0,60000,автомат,слева,черный металлик,полный привод,Да,газ-бензин,7500000,Nissan,Pathfinder
Туркестан,2005,седан,1.6,160000,механика,слева,серебристый,передний привод,Нет,бензин,1000000,Daewoo,Nexia
Петропавловск,2006,седан,3.5,250000,автомат,слева,черный,передний привод,Нет,бензин,3900000,Toyota,Camry
Шымкент,2006,седан,5.5,220000,автомат,слева,черный металлик,задний привод,Да,бензин,5250000,Mercedes-Benz,S 500
Алматы,2015,седан,1.6,92000,механика,слева,коричневый металлик,передний привод,Да,бензин,2600000,ВАЗ (Lada),2170 (седан)
Щучинск,1993,универсал,1.8,250000,механика,слева,красный,передний привод,Да,бензин,1100000,Volkswagen,Passat
Нур-Султан (Астана),2016,минивэн,2.5,110000,типтроник,слева,черный металлик,задний привод,Да,дизель,11000000,Hyundai,Starex
Шымкент,2012,кроссовер,3.5,181000,автомат,слева,белый,,Да,бензин,12000000,Toyota,Highlander
Павлодар,2014,седан,1.6,100000,механика,слева,белый,,Да,бензин,1300000,Daewoo,Nexia
Кокшетау,2013,седан,1.6,100000,автомат,слева,черный,передний привод,Да,бензин,5750000,Kia,Cerato
Кокшетау,2018,универсал,1.6,50000,механика,слева,серебристый,передний привод,Да,газ-бензин,4750000,ВАЗ (Lada),Largus Cross
Нур-Султан (Астана),2009,хэтчбек,1.5,410000,механика,слева,черный,передний привод,Нет,бензин,750000,ВАЗ (Lada),2114 (хэтчбек)
Атырау,2014,кроссовер,1.6,76000,автомат,слева,серебристый,передний привод,Да,бензин,3500000,Changan,CS35
Кокшетау,2012,внедорожник,5.7,143000,автомат,слева,серый металлик,полный привод,Да,бензин,22222999,Lexus,LX 570
Шымкент,2011,кроссовер,2.0,135000,вариатор,слева,серый металлик,полный привод,Да,бензин,5600000,Nissan,Qashqai
Алматы,2014,седан,1.6,60000,автомат,слева,белый металлик,задний привод,Да,бензин,10300000,Mercedes-Benz,C 180
Мерке,1997,седан,2.0,144565,механика,слева,бордовый металлик,передний привод,Да,бензин,600000,Mitsubishi,Galant
Тараз,2007,седан,1.5,139000,механика,слева,красный металлик,передний привод,Нет,бензин,1100000,ВАЗ (Lada),2192 (хэтчбек)
Алматы,1994,седан,2.8,1,автомат,слева,черный металлик,,Да,бензин,2950000,Mercedes-Benz,E 280
Тараз,2005,минивэн,2.5,488457,механика,слева,бежевый,передний привод,Да,дизель,3000000,Volkswagen,Caravelle
Шымкент,2020,седан,2.5,14510,автомат,слева,белый,передний привод,Да,бензин,16000000,Kia,K7
Актобе,2012,кроссовер,2.4,148000,автомат,слева,серый,полный привод,Да,бензин,7000000,Mitsubishi,Outlander
Алматы,2019,внедорожник,5.7,9900,автомат,слева,белый металлик,полный привод,Да,бензин,49900000,Lexus,LX 570
Уральск,2011,хэтчбек,1.6,86868,механика,слева,белый,передний привод,Нет,бензин,2700000,Renault,Sandero
Алматы,1997,внедорожник,2.7,300000,автомат,справа,зеленый,полный привод,Да,бензин,3900000,Toyota,4Runner
Шымкент,2014,седан,1.5,158000,автомат,слева,белый,передний привод,Да,газ-бензин,3200000,Daewoo,Gentra
Алматы,2019,седан,1.6,14500,вариатор,слева,серебристый металлик,передний привод,Да,бензин,9300000,Toyota,Corolla
Костанай,2008,седан,1.6,218,механика,слева,синий металлик,передний привод,Нет,бензин,1120000,ВАЗ (Lada),2170 (седан)
Нур-Султан (Астана),2001,внедорожник,5.0,150000,автомат,слева,черный,полный привод,Да,бензин,13000000,Mercedes-Benz,G 500
Нур-Султан (Астана),2012,пикап,2.9,333333,механика,слева,белый,задний привод,Да,газ-бензин,5200000,ГАЗГАЗель,
Алматы,2003,седан,5.0,4000000,автомат,слева,черный металлик,передний привод,Да,бензин,2900000,Mercedes-Benz,S 500
Алматы,1991,седан,2.8,408800,механика,слева,серый металлик,полный привод,Да,бензин,1500000,Audi,100
Алматы,2013,внедорожник,4.0,89000,автомат,слева,серебристый металлик,полный привод,Да,бензин,17900000,Toyota,Land Cruiser
Алматы,2013,лифтбек,1.2,231000,автомат,слева,белый металлик,передний привод,Да,бензин,3750000,Skoda,Octavia
Шымкент,2014,седан,1.6,86000,автомат,слева,синий металлик,передний привод,Да,бензин,3500000,Daewoo,Gentra
Нур-Султан (Астана),2012,кроссовер,1.8,172000,вариатор,слева,черный,передний привод,Да,бензин,5400000,Mitsubishi,ASX
Шымкент,2020,седан,2.0,5274,автомат,слева,белый металлик,передний привод,Да,бензин,10200000,Hyundai,Sonata
Караганда,2004,внедорожник,4.7,431000,автомат,слева,вишня металлик,полный привод,Да,газ-бензин,8901000,Toyota,Land Cruiser
Байконыр,2008,фургон,2.5,90000,механика,слева,белый,задний привод,Да,бензин,4500000,ГАЗГАЗель,
Актау,2011,седан,3.5,129000,типтроник,слева,белый металлик,передний привод,Да,бензин,7888888,Lexus,ES 350
Алматы,2004,внедорожник,5.0,298000,автомат,слева,черный,полный привод,Да,бензин,12000000,Mercedes-Benz,G 500
Алматы,2005,седан,3.0,324,автомат,слева,золотистый металлик,передний привод,Да,газ-бензин,4650000,Toyota,Camry
Алматы,2005,внедорожник,3.2,235000,автомат,слева,черный,полный привод,Да,бензин,4300000,Volkswagen,Touareg
Алматы,1994,хэтчбек,2.0,314,механика,слева,зеленый металлик,передний привод,Да,бензин,1500000,Renault,Laguna
Кызылорда,2008,седан,1.6,186000,робот,слева,белый,передний привод,Да,газ-бензин,4000000,Toyota,Corolla
Нур-Султан (Астана),2014,седан,1.6,171000,вариатор,слева,,,Да,бензин,5700000,Toyota,Corolla
Алматы,1975,седан,1.5,55000,механика,слева,бирюзовый,задний привод,Да,бензин,450000,Москвич,412
Актобе,2015,кроссовер,2.4,130000,типтроник,слева,серебристый металлик,полный привод,Да,бензин,9500000,Kia,Sorento
Нур-Султан (Астана),2012,седан,1.6,135000,автомат,слева,вишня,передний привод,Нет,бензин,1950000,ВАЗ (Lada),2190 (седан)
Алматы,2007,хэтчбек,1.4,180000,механика,слева,,передний привод,Да,бензин,2800000,Hyundai,Getz
Костанай,2015,седан,1.4,70000,автомат,слева,серебристый металлик,передний привод,Да,бензин,5100000,Hyundai,Accent
Алматы,2011,кроссовер,3.0,134000,автомат,слева,белый,полный привод,Да,бензин,11000000,Audi,Q7
Нур-Султан (Астана),2007,хэтчбек,1.5,88000,механика,слева,черный металлик,передний привод,Нет,бензин,770000,ВАЗ (Lada),2114 (хэтчбек)
Алматы,2014,седан,3.5,129000,автомат,слева,черный,передний привод,Да,бензин,8551515,Toyota,Camry
Алматы,1999,универсал,2.0,290000,автомат,справа,серебристый металлик,полный привод,Да,бензин,2700000,Toyota,Caldina
Шымкент,1996,хэтчбек,1.8,777777,автомат,слева,хамелеон,полный привод,Да,газ-бензин,1800000,Volkswagen,Golf
Темиртау,1995,купе,1.5,2222,механика,слева,синий,передний привод,Да,бензин,430000,ВАЗ (Lada),2108 (хэтчбек)
Алматы,2016,кроссовер,2.0,82000,автомат,слева,черный,полный привод,Да,бензин,21000000,Lexus,RX 200t
Шымкент,2013,хэтчбек,1.6,72000,механика,слева,коричневый металлик,передний привод,Да,бензин,2700000,ВАЗ (Lada),2114 (хэтчбек)
Нур-Султан (Астана),2013,седан,2.0,63000,автомат,слева,белый металлик,передний привод,Да,бензин,6100000,Kia,Cerato
Атырау,2004,минивэн,2.4,187000,автомат,справа,белый металлик,передний привод,Нет,бензин,2500000,Honda,Elysion
Нур-Султан (Астана),2018,кроссовер,2.0,50800,вариатор,слева,черный,полный привод,Да,бензин,9300000,Mitsubishi,Outlander
Семей,2006,седан,3.0,164000,автомат,слева,,,Да,бензин,6000000,BMW,530
Кызылорда,1994,седан,2.2,333333,автомат,слева,белый металлик,задний привод,Да,бензин,2550000,Mercedes-Benz,E 220
Барнаул,2008,пикап,6.4,82000,автомат,слева,белый,полный привод,Нет,дизель,19100000,Ford,F-Series
Актобе,2012,кроссовер,3.5,125169,автомат,слева,белый,полный привод,Да,бензин,10500000,Lexus,RX 350
Алматы,2004,кроссовер,3.3,190000,автомат,слева,серый металлик,полный привод,Да,бензин,7000000,Lexus,RX 330
Атырау,2013,кроссовер,2.7,102000,типтроник,слева,коричневый металлик,передний привод,Да,бензин,13000000,Lexus,RX 270
Алматы,2019,седан,2.0,16000,автомат,слева,черный металлик,полный привод,Да,бензин,26800000,BMW,530
Усть-Каменогорск,1994,седан,2.8,390000,механика,слева,черный,задний привод,Да,бензин,1700000,Mercedes-Benz,C 280
Алматы,2018,седан,2.0,26000,автомат,слева,,,Да,бензин,17900000,BMW,530
Усть-Каменогорск,2005,внедорожник,4.7,262000,автомат,слева,черный металлик,полный привод,Да,газ-бензин,9100000,Lexus,LX 470
Атырау,2017,кроссовер,2.0,74000,механика,слева,белый,полный привод,Да,бензин,5700000,Renault,Duster
Алматы,2006,фургон,1.4,180000,механика,слева,белый,передний привод,Да,бензин,1850000,Renault,Kangoo
Алматы,2006,кроссовер,3.5,215741,автомат,слева,черный,полный привод,Нет,бензин,5600000,Lexus,RX 350
Актау,2014,седан,1.8,88000,автомат,слева,белый металлик,передний привод,Да,газ-бензин,4000000,Chevrolet,Cruze
Алматы,1996,внедорожник,2.8,350000,автомат,справа,черный,полный привод,Да,дизель,2700000,Mitsubishi,Delica
Уральск,2007,хэтчбек,1.6,226000,механика,слева,зеленый,передний привод,Нет,бензин,800000,ВАЗ (Lada),2114 (хэтчбек)
Караганда,1975,седан,1.5,1975,механика,слева,вишня,задний привод,Да,бензин,375000,ВАЗ (Lada),2101
Уральск,2007,седан,1.6,189000,автомат,слева,бордовый металлик,передний привод,Нет,бензин,1600000,Kia,Spectra
Уральск,1999,кроссовер,2.0,190000,механика,слева,черный металлик,полный привод,Нет,бензин,2200000,Honda,CR-V
Шымкент,2019,седан,2.4,27000,типтроник,слева,белый,передний привод,Да,бензин,11400000,Hyundai,Grandeur
Актобе,2007,внедорожник,4.7,167371,типтроник,слева,бордовый металлик,полный привод,Да,газ-бензин,10000000,Toyota,4Runner
Тараз,2005,внедорожник,3.5,280000,механика,слева,черный металлик,полный привод,Да,бензин,7500000,Hummer,H3
Алматы,2012,внедорожник,3.5,118000,автомат,слева,черный металлик,полный привод,Да,бензин,13500000,Toyota,Highlander
Кокшетау,2005,хэтчбек,1.5,230000,механика,слева,серебристый металлик,передний привод,Да,бензин,1250000,ВАЗ (Lada),2114 (хэтчбек)
Щучинск,2011,хэтчбек,1.2,138000,автомат,слева,,передний привод,Нет,бензин,3200000,Skoda,Yeti
Шымкент,2010,кроссовер,2.7,117109,автомат,слева,серый металлик,передний привод,Да,бензин,8700000,Toyota,Venza
Нур-Султан (Астана),1991,седан,2.3,300000,механика,слева,белый,задний привод,Да,бензин,1200000,Mercedes-Benz,E 230
Актобе,2012,купе,2.0,123000,типтроник,слева,белый,передний привод,Да,бензин,5300000,Kia,Cerato Koup
Алматы,1994,хэтчбек,1.8,240471,механика,слева,фиолетовый,передний привод,Да,бензин,1300000,Volkswagen,Golf
Караганда,2000,седан,1.9,260000,механика,слева,черный,задний привод,Да,бензин,2200000,BMW,318
Алматы,2007,минивэн,2.4,102000,типтроник,справа,белый металлик,полный привод,Нет,бензин,3350000,Toyota,Estima
Шымкент,2013,хэтчбек,1.6,87123,механика,слева,черный металлик,передний привод,Да,бензин,2000000,ВАЗ (Lada),2114 (хэтчбек)
Шахтинск,2002,хэтчбек,1.4,202000,механика,слева,,передний привод,Да,бензин,2200000,Skoda,Fabia
Нур-Султан (Астана),2008,минивэн,2.4,230001,автомат,справа,серебристый металлик,полный привод,Нет,бензин,2750000,Toyota,Estima
Усть-Каменогорск,2013,седан,1.6,157000,механика,слева,черный металлик,передний привод,Да,бензин,3200000,FAW,Besturn B50
Семей,2013,седан,1.6,157000,механика,слева,черный металлик,передний привод,Да,бензин,3200000,FAW,Besturn B50
Алматы,2020,кроссовер,2.0,12000,автомат,слева,черный,полный привод,Да,бензин,17000000,Toyota,RAV 4
Нур-Султан (Астана),2018,кроссовер,2.0,46000,робот,слева,черный металлик,полный привод,Да,бензин,14000000,Skoda,Kodiaq
Алматы,2013,седан,2.5,132000,автомат,слева,,передний привод,Да,бензин,7300000,Toyota,Camry
Семей,2005,седан,3.0,182000,автомат,слева,серебристый металлик,передний привод,Да,бензин,6200000,Toyota,Camry
Костанай,2006,седан,1.4,312000,механика,слева,зеленый,передний привод,Нет,бензин,1050000,Renault,Symbol
Алматы,1993,внедорожник,3.0,300000,автомат,справа,черный,полный привод,Да,дизель,500000,Toyota,Hilux Surf
Актау,2005,седан,5.0,200000,автомат,справа,серый металлик,задний привод,Нет,бензин,5500000,Toyota,Century
Шымкент,2012,хэтчбек,1.5,120000,механика,слева,черный,передний привод,Да,бензин,1250000,ВАЗ (Lada),2113 (хэтчбек)
Тараз,2013,кроссовер,1.6,109962,механика,слева,черный металлик,передний привод,Да,бензин,6200000,Nissan,Qashqai
Атырау,2014,внедорожник,2.7,115000,автомат,слева,белый металлик,полный привод,Да,газ-бензин,14500000,Toyota,Land Cruiser Prado
Атакент,2011,седан,1.5,129000,механика,слева,розовый,передний привод,Нет,бензин,1200000,Daewoo,Nexia
Актобе,2013,седан,1.4,173000,механика,слева,белый металлик,передний привод,Нет,бензин,1600000,Renault,Logan
Атырау,2000,кроссовер,3.0,130000,автомат,слева,серый,полный привод,Нет,газ-бензин,3600000,Lexus,RX 300
Нур-Султан (Астана),2014,микроавтобус,2.2,220,механика,слева,белый,задний привод,Да,дизель,14000000,Mercedes-Benz,Sprinter
